distribution	bucket_count	scheduling_type	time
uniform	1	static	9.705598
uniform	2	static	5.548768
uniform	4	static	2.95216
uniform	8	static	1.890374
uniform	16	static	2.31058
uniform	32	static	2.046184
uniform	64	static	1.932207
uniform	128	static	1.918708
uniform	256	static	1.950906
uniform	512	static	1.958905
uniform	1024	static	2.375431
uniform	1	dynamic	10.584132
uniform	2	dynamic	5.641871
uniform	4	dynamic	3.00691
uniform	8	dynamic	1.96521
uniform	16	dynamic	2.386711
uniform	32	dynamic	2.063028
uniform	64	dynamic	2.019767
uniform	128	dynamic	1.925538
uniform	256	dynamic	1.982722
uniform	512	dynamic	1.954222
uniform	1024	dynamic	2.311235
normal	1	static	9.826305
normal	2	static	6.089434
normal	4	static	6.278
normal	8	static	5.172246
normal	16	static	3.165729
normal	32	static	2.239997
normal	64	static	2.166126
normal	128	static	2.032036
normal	256	static	2.027628
normal	512	static	2.054086
normal	1024	static	2.086948
normal	1	dynamic	9.79842
normal	2	dynamic	6.350366
normal	4	dynamic	6.298815
normal	8	dynamic	5.186182
normal	16	dynamic	3.15272
normal	32	dynamic	2.238165
normal	64	dynamic	2.12157
normal	128	dynamic	2.045729
normal	256	dynamic	1.978023
normal	512	dynamic	2.001339
normal	1024	dynamic	2.089465
exponential	1	static	9.698349
exponential	2	static	10.341241
exponential	4	static	9.875332
exponential	8	static	8.955969
exponential	16	static	6.908496
exponential	32	static	4.618096
exponential	64	static	3.014563
exponential	128	static	2.224673
exponential	256	static	2.128888
exponential	512	static	2.05804
exponential	1024	static	2.117166
exponential	1	dynamic	10.53319
exponential	2	dynamic	9.905362
exponential	4	dynamic	10.486591
exponential	8	dynamic	9.254673
exponential	16	dynamic	6.800572
exponential	32	dynamic	4.625919
exponential	64	dynamic	3.030144
exponential	128	dynamic	2.239276
exponential	256	dynamic	2.160064
exponential	512	dynamic	2.053092
exponential	1024	dynamic	2.080313
uniform	1	no	9.686404
uniform	2	no	5.571473
uniform	4	no	3.005597
uniform	8	no	1.880062
uniform	16	no	2.394576
uniform	32	no	2.111477
uniform	64	no	2.008993
uniform	128	no	2.155346
uniform	256	no	1.913485
uniform	512	no	1.994808
uniform	1024	no	2.375871
normal	1	no	9.792345
normal	2	no	6.12963
normal	4	no	6.271249
normal	8	no	5.185886
normal	16	no	3.176198
normal	32	no	2.259353
normal	64	no	2.2054
normal	128	no	2.048044
normal	256	no	2.01514
normal	512	no	2.00568
normal	1024	no	2.099484
exponential	1	no	9.708167
exponential	2	no	9.962147
exponential	4	no	9.891281
exponential	8	no	8.928187
exponential	16	no	7.455265
exponential	32	no	4.49474
exponential	64	no	3.002334
exponential	128	no	2.388227
exponential	256	no	2.235193
exponential	512	no	2.069846
exponential	1024	no	2.148636
uniform	1	dynamic_chunk_25	9.65888
uniform	2	dynamic_chunk_25	9.701628
uniform	4	dynamic_chunk_25	9.477768
uniform	8	dynamic_chunk_25	9.439331
uniform	16	dynamic_chunk_25	8.782707
uniform	32	dynamic_chunk_25	6.672819
uniform	64	dynamic_chunk_25	3.542676
uniform	128	dynamic_chunk_25	2.175925
uniform	256	dynamic_chunk_25	1.996918
uniform	512	dynamic_chunk_25	1.949224
uniform	1024	dynamic_chunk_25	2.403273
normal	1	dynamic_chunk_25	9.827419
normal	2	dynamic_chunk_25	10.365754
normal	4	dynamic_chunk_25	10.353658
normal	8	dynamic_chunk_25	10.214561
normal	16	dynamic_chunk_25	10.033582
normal	32	dynamic_chunk_25	8.839424
normal	64	dynamic_chunk_25	8.060018
normal	128	dynamic_chunk_25	6.263802
normal	256	dynamic_chunk_25	3.733804
normal	512	dynamic_chunk_25	2.377523
normal	1024	dynamic_chunk_25	2.102023
exponential	1	dynamic_chunk_25	9.670104
exponential	2	dynamic_chunk_25	9.91232
exponential	4	dynamic_chunk_25	9.976827
exponential	8	dynamic_chunk_25	9.758748
exponential	16	dynamic_chunk_25	9.513529
exponential	32	dynamic_chunk_25	10.077518
exponential	64	dynamic_chunk_25	9.73275
exponential	128	dynamic_chunk_25	9.179619
exponential	256	dynamic_chunk_25	6.949667
exponential	512	dynamic_chunk_25	5.183354
exponential	1024	dynamic_chunk_25	3.493581
uniform	1	dynamic_chunk_5	9.947542
uniform	2	dynamic_chunk_5	9.698761
uniform	4	dynamic_chunk_5	10.194984
uniform	8	dynamic_chunk_5	6.324722
uniform	16	dynamic_chunk_5	3.29086
uniform	32	dynamic_chunk_5	2.025828
uniform	64	dynamic_chunk_5	2.019847
uniform	128	dynamic_chunk_5	2.003407
uniform	256	dynamic_chunk_5	1.925399
uniform	512	dynamic_chunk_5	1.982477
uniform	1024	dynamic_chunk_5	2.347918
normal	1	dynamic_chunk_5	9.764889
normal	2	dynamic_chunk_5	9.686063
normal	4	dynamic_chunk_5	10.416292
normal	8	dynamic_chunk_5	9.167644
normal	16	dynamic_chunk_5	8.759585
normal	32	dynamic_chunk_5	5.077121
normal	64	dynamic_chunk_5	3.385771
normal	128	dynamic_chunk_5	2.269627
normal	256	dynamic_chunk_5	2.066705
normal	512	dynamic_chunk_5	1.98483
normal	1024	dynamic_chunk_5	2.086591
exponential	1	dynamic_chunk_5	9.66184
exponential	2	dynamic_chunk_5	9.934844
exponential	4	dynamic_chunk_5	9.873242
exponential	8	dynamic_chunk_5	9.682124
exponential	16	dynamic_chunk_5	9.682124
exponential	32	dynamic_chunk_5	9.633456
exponential	64	dynamic_chunk_5	7.277004
exponential	128	dynamic_chunk_5	4.84528
exponential	256	dynamic_chunk_5	3.146315
exponential	512	dynamic_chunk_5	2.424487
exponential	1024	dynamic_chunk_5	2.30381
