implementation	distribution	array_size	bucket_count	time
serial	uniform	50000000	1	9.600245
serial	uniform	50000000	10	8.668569
serial	uniform	50000000	100	7.902372
serial	uniform	50000000	250	7.377044
serial	uniform	50000000	500	7.188324
serial	uniform	50000000	750	7.093539
serial	uniform	50000000	1000	7.066459
serial	uniform	50000000	1250	7.147401
serial	uniform	50000000	1500	7.222186
serial	uniform	50000000	1750	7.266027
serial	uniform	50000000	2000	7.302383
serial	normal	50000000	1	9.71585
serial	normal	50000000	10	9.07498
serial	normal	50000000	100	8.276152
serial	normal	50000000	250	8.386779
serial	normal	50000000	500	9.581572
serial	normal	50000000	750	12.34075
serial	normal	50000000	1000	16.052181
serial	normal	50000000	1250	23.877559
serial	normal	50000000	1500	32.468138
serial	normal	50000000	1750	38.198728
serial	normal	50000000	2000	47.351109
serial	exponential	50000000	1	9.713398
serial	exponential	50000000	10	9.456237
serial	exponential	50000000	100	8.648329
serial	exponential	50000000	250	10.281092
serial	exponential	50000000	500	11.838073
serial	exponential	50000000	750	14.764736
serial	exponential	50000000	1000	21.872663
serial	exponential	50000000	1250	34.239796
serial	exponential	50000000	1500	40.854547
serial	exponential	50000000	1750	60.381152
serial	exponential	50000000	2000	71.153576
parallel	uniform	50000000	1	9.819932
parallel	uniform	50000000	2	5.523432
parallel	uniform	50000000	4	2.972005
parallel	uniform	50000000	8	1.921475
parallel	uniform	50000000	16	2.391362
parallel	uniform	50000000	32	2.017719
parallel	uniform	50000000	64	1.899614
parallel	uniform	50000000	128	1.908384
parallel	uniform	50000000	256	1.8972
parallel	uniform	50000000	512	1.908167
parallel	uniform	50000000	1024	2.356088
parallel	normal	50000000	1	9.76479
parallel	normal	50000000	2	6.051949
parallel	normal	50000000	4	6.031196
parallel	normal	50000000	8	4.853943
parallel	normal	50000000	16	3.160622
parallel	normal	50000000	32	2.187412
parallel	normal	50000000	64	2.15935
parallel	normal	50000000	128	2.114535
parallel	normal	50000000	256	2.692953
parallel	normal	50000000	512	5.854492
parallel	normal	50000000	1024	16.385228
parallel	exponential	50000000	1	9.628754
parallel	exponential	50000000	2	9.906178
parallel	exponential	50000000	4	9.856976
parallel	exponential	50000000	8	9.256224
parallel	exponential	50000000	16	6.8065
parallel	exponential	50000000	32	4.735351
parallel	exponential	50000000	64	3.107184
parallel	exponential	50000000	128	2.546662
parallel	exponential	50000000	256	2.93097
parallel	exponential	50000000	512	6.553357
parallel	exponential	50000000	1024	21.890532
serial	uniform	10000	100	0.004022
serial	uniform	100000	100	0.015424
serial	uniform	1000000	100	0.130856
serial	uniform	10000000	100	1.38869
serial	uniform	20000000	100	2.906636
serial	uniform	30000000	100	4.477527
serial	uniform	40000000	100	6.117075
serial	normal	10000	100	0.047488
serial	normal	100000	100	0.058589
serial	normal	1000000	100	0.215234
serial	normal	10000000	100	1.524034
serial	normal	20000000	100	3.113898
serial	normal	30000000	100	5.145228
serial	normal	40000000	100	6.518446
serial	exponential	10000	100	0.054438
serial	exponential	100000	100	0.110086
serial	exponential	1000000	100	0.222101
serial	exponential	10000000	100	1.634674
serial	exponential	20000000	100	3.318749
serial	exponential	30000000	100	5.072073
serial	exponential	40000000	100	7.981487
